tsw	eng	src	notes
go tshwara	to hold	peace-corps-L5	past: tshwere
go boloka	to keep / save	peace-corps-L5	past: bolokile
go itse	to know	peace-corps-L5	past: itsile
go tshega	to laugh	peace-corps-L5	past: tshegile
go ithuta	to learn / study	peace-corps-L5	past: ithutile
go reetsa	to listen	peace-corps-L5	past: reeditse
go rata	to like / love	peace-corps-L5	past: ratile
go tlhoka	to need	peace-corps-L5	past: tlhokile
go bula	to open	peace-corps-L5	past: butse
go duela	to pay	peace-corps-L5	past: duetse
go gana	to refuse	peace-corps-L5	past: ganne
go boa	to return	peace-corps-L5	past: boile
go lwala	to be sick	peace-corps-L5	past: lwetse
go robala	to sleep	peace-corps-L5	past: robetse
go bua	to speak	peace-corps-L5	past: buile
go tsaya	to take	peace-corps-L5	past: tsere
go ruta	to teach	peace-corps-L5	past: rutile
go bolela	to tell	peace-corps-L5	past: boletse
go lapa	to become tired	peace-corps-L5	past: lapile
go leka	to try	peace-corps-L5	past: lekile
go tlhaloganya	to understand	peace-corps-L5	past: tlhalogantse
go dirisa	to use	peace-corps-L5	past: dirisitse
go etela	to visit	peace-corps-L5
go batla	to want / look for	peace-corps-L5	past: batlile
go tlhatswa	to wash (clothes)	peace-corps-L5	past: tlhatswitse
go tlhapa	to bathe	peace-corps-L5	past: tlhapile
go bereka	to work	peace-corps-L5	past: berekile
go kwala	to write	peace-corps-L5	past: kwadile
Ke lapile	I am tired	peace-corps-L6
Ke a otsela	I am sleepy	peace-corps-L6
Ke tshwerwe ke tlala	I am hungry	peace-corps-L6	lit. I am held by hunger
Ke tshwerwe ke lenyora	I am thirsty	peace-corps-L6
O ya kae?	Where are you going?	peace-corps-L6
Ke ya lapeng	I am going home	peace-corps-L6
O tla leng?	When are you coming?	peace-corps-L6
O nna kae?	Where do you live?	peace-corps-L6
Ke ithuta Setswana	I am learning Setswana	peace-corps-L6
Ga ke rate kofi	I don't like coffee	peace-corps-L6	neg. present
Ke a ja	I am eating	peace-corps-L6
Ga a je	He/she doesn't eat	peace-corps-L6	neg. present
Ga a ithute	He/she doesn't study	peace-corps-L6	neg. present
Ke tlhapa phakela	I bathe in the morning	peace-corps-L6
Ga ke tlhaloganye	I don't understand	peace-corps-L6
Bua ka bonya	Speak slowly	peace-corps-L6
Bua ka bonako	Speak quickly	peace-corps-L6
Gape	Again	peace-corps-L6
Intshwarele	Excuse me / forgive me	peace-corps-L6
A o na le dipotso?	Do you have any questions?	peace-corps-L6
Ee, ke na le mathata	Yes, I have a problem	peace-corps-L6
Nnyaa, ga ke na mathata	No, I don't have a problem	peace-corps-L6
Tsweetswee	Please	peace-corps-L6
Ke itumetse	Thank you / I am glad	peace-corps-L6
tafole	table	peace-corps-L7	class 9
setilo	chair	peace-corps-L7	class 7; SA also setulo
sejana	plate / dish	peace-corps-L7	class 7
kopi	cup	peace-corps-L7	class 9
leswana	spoon	peace-corps-L7	class 5
thipa	knife	peace-corps-L7	class 9
lefeelo	broom	peace-corps-L7	class 5
bolao	bed	peace-corps-L7	class 14
kobo	blanket	peace-corps-L7	class 9
diaparo	clothes	peace-corps-L7	class 8
borokgwe	trousers	peace-corps-L7	class 14
ditlhako	shoes	peace-corps-L7	class 8
pensele	pencil	peace-corps-L7	class 9
buka	book	peace-corps-L7	class 9
pene	pen	peace-corps-L7	class 9
fensetere	window	peace-corps-L7	class 9
lebati	door	peace-corps-L7	class 5
nna	I / me	peace-corps-L8	emphatic pronoun
wena	you (sg)	peace-corps-L8
ene	he / she	peace-corps-L8
rona	we / us	peace-corps-L8
lona	you (pl)	peace-corps-L8
bone	they / them	peace-corps-L8
le	and / with	peace-corps-L9
mme	but	peace-corps-L9	also: mother
kgotsa	or	peace-corps-L9
jaaka	as / like	peace-corps-L9
ka jalo	therefore	peace-corps-L9
ka gore	because	peace-corps-L9
Ke a batla	I want	peace-corps-L10
Ga ke batle	I do not want	peace-corps-L10
O a batla	You want	peace-corps-L10
Ba a batla	They want	peace-corps-L10
Re a batla	We want	peace-corps-L10
Ke ne ke batla	I wanted	peace-corps-L10	past
Ke ne ke sa batle	I did not want	peace-corps-L10	neg. past
Ke tlaa batla	I will want	peace-corps-L10	future
Ga ke kake ka batla	I will not want	peace-corps-L10	neg. future
Ke a bala	I am reading	peace-corps-L11
Ba a bala	They are reading	peace-corps-L11
Ke na le buka	I have a book	peace-corps-L11
O na le buka	You have a book	peace-corps-L11
Re na le buka	We have a book	peace-corps-L11
Ke eng?	What is it?	peace-corps-L12
O tsile leng?	When did you come?	peace-corps-L12
O tswa kae?	Where are you from?	peace-corps-L12
O mang?	Who are you?	peace-corps-L12
O batla efe?	Which one do you want?	peace-corps-L12
Bula lebati	Open the door	peace-corps-L12	command
Tswala lebati	Close the door	peace-corps-L12	command
Ema ka dinao	Stand up	peace-corps-L12	command
Nna fatshe	Sit down	peace-corps-L12	command
Tlaa kwano	Come here	peace-corps-L12	command
Didimala	Keep quiet	peace-corps-L12	command
Reetsa	Listen	peace-corps-L12	command
O batla eng?	What do you want?	peace-corps-L13
Ke batla kerese	I want a candle	peace-corps-L13
O tlhoka eng?	What do you need?	peace-corps-L13
Ke tlhoka madi	I need money	peace-corps-L13
O batla go ya kae?	Where do you want to go?	peace-corps-L13
Ke batla go ya kwa lapeng	I want to go home	peace-corps-L13
Ga ke itse	I do not know	peace-corps-L13
O rata kofi?	Do you like coffee?	peace-corps-L13
Nnyaa, ga ke rate kofi	No, I don't like coffee	peace-corps-L13
Kamoso o ya kae?	Where are you going tomorrow?	peace-corps-L13
dijo	food	peace-corps-L14	class 8
mabele	sorghum	peace-corps-L14	tonal pair: breasts
phaletshe	mealie-meal	peace-corps-L14	variant:bw; SA often bupi
sukiri	sugar	peace-corps-L14
letswai	salt	peace-corps-L14	class 5
metsi	water	peace-corps-L14	class 6
mashi	milk	peace-corps-L14	class 6
ditamati	tomatoes	peace-corps-L14	class 8
ditapole	potatoes	peace-corps-L14	class 8
mae	eggs	peace-corps-L14	class 6
borotho	bread	peace-corps-L14	class 14
kofi	coffee	peace-corps-L14	class 9
tee	tea	peace-corps-L14	class 9
motogo	soft porridge	peace-corps-L14	class 3
namune	orange	peace-corps-L14	class 9
apole	apple	peace-corps-L14	class 9
dinawa	beans	peace-corps-L14	class 10
ntate	father	peace-corps-L15	variant:bw; SA rre/ntate both used
mme	mother	peace-corps-L15	also mma
ntate mogolo	grandfather	peace-corps-L15
nkuku	grandmother	peace-corps-L15
kgaitsadi	sibling of opposite gender	peace-corps-L15
nkgonne	older sibling	peace-corps-L15
nnake	younger sibling	peace-corps-L15
rangwane	uncle (paternal)	peace-corps-L15
malome	uncle (maternal)	peace-corps-L15
rakgadi	aunt (paternal)	peace-corps-L15
mmangwane	aunt (maternal)	peace-corps-L15
ntsalake	my cousin	peace-corps-L15
batsadi	parents	peace-corps-L15	class 2
ngwana	child	peace-corps-L15	pl: bana
lelapa	family / home	peace-corps-L15	class 5
gompieno	today	peace-corps-L16
maabane	yesterday	peace-corps-L16
kamoso	tomorrow	peace-corps-L16
maloba	a few days ago	peace-corps-L16
beke e	this week	peace-corps-L16
beke e e fetileng	last week	peace-corps-L16	lit. the week that passed
beke e e tlang	next week	peace-corps-L16	lit. the week to come
ngwaga e e tlang	next year	peace-corps-L16
kgwedi e	this month	peace-corps-L16
gone jaanong	right now	peace-corps-L16
bosigo	at night	peace-corps-L16
phakela	in the morning / early	peace-corps-L16
motshegare	midday / afternoon	peace-corps-L16
maitseboa	evening	peace-corps-L16
Ke tsoga ka 6 phakela	I wake up at 6 in the morning	peace-corps-L17
Ke a tlhapa	I bathe	peace-corps-L17
Ke bo ke ja	And then I eat	peace-corps-L17
Ke ya sekolong	I go to school	peace-corps-L17
Ke ne ke itumetse gompieno	I was happy today	peace-corps-L17
ntlo	house	peace-corps-L18	class 9; pl dintlo
sekolo	school	peace-corps-L18	class 7
sepatela	hospital	peace-corps-L18	class 7
kokelwana	clinic	peace-corps-L18
lebenkele	shop	peace-corps-L18	class 5; also shopo
poso	post office	peace-corps-L18	class 9
noka	river	peace-corps-L18	class 9
tshimo	field	peace-corps-L18	class 9
kereke	church	peace-corps-L18	class 9
banka	bank	peace-corps-L18	class 9
kgotla	customary court / meeting place	peace-corps-L18	class 9
Ke bokae?	How much is it?	peace-corps-L20
Kgetse ya dinamune ke bokae?	How much is a bag of oranges?	peace-corps-L20
Madi otlhe ke bokae?	What's the total price?	peace-corps-L20
Gompieno go serame	Today it is cold	peace-corps-L21
Gompieno go mogote	Today it is hot	peace-corps-L21
Go bothitho	It is warm	peace-corps-L21
Go letsatsi	It is sunny	peace-corps-L21
Go phefo	It is windy	peace-corps-L21
selemo	summer	peace-corps-L21
mariga	winter	peace-corps-L21
Ke a lwala	I am sick	peace-corps-L22
Ke opiwa ke tlhogo	I have a headache	peace-corps-L22
Mala ame a botlhoko	My stomach hurts	peace-corps-L22
O ile ngakeng	He/she went to the doctor	peace-corps-L22
Nthuse!	Help me!	peace-corps-L23
Ke kopa thuso	I need help	peace-corps-L23	lit. I ask for help
lefela	zero / nothing	module-doc	the app's namesake
Setswana	the Setswana language	module-doc	class 7
Gotlhe go simolola fano	It all starts here	nwu-slogan	from SECL121 module doc p2
